userID	artistID	interactions
0	45	13883
0	46	11690
0	47	11351
0	48	10300
0	49	8983
0	50	6152
0	51	5955
0	52	4616
0	53	4337
0	54	4147
0	55	3923
0	56	3782
0	57	3735
0	58	3644
0	59	3579
0	60	3312
0	61	3301
0	62	2927
0	63	2720
0	64	2686
0	65	2654
0	66	2619
0	67	2584
0	68	2547
0	69	2397
0	70	2382
0	71	2120
0	72	2119
0	73	1990
0	74	1972
0	75	1948
0	76	1868
0	77	1792
0	78	1740
0	79	1638
0	80	1594
0	81	1559
0	82	1553
0	83	1519
0	84	1471
0	85	1438
0	86	1411
0	87	1407
0	88	1373
0	89	1363
0	90	1342
0	91	1337
0	92	1332
0	93	1330
0	94	1315
1	95	13176
1	96	662
1	97	493
1	98	431
1	99	403
2	45	228
2	47	686
2	58	420
2	59	301
2	64	389
2	66	4983
2	71	396
3	47	181
4	71	16
5	49	3151
5	61	2540
5	83	5846
6	65	181
6	83	921
6	91	354
7	7	587
9	61	229
9	83	3384
10	66	2144
11	49	6
11	61	9
11	83	3967
13	63	242
14	83	849
15	50	242
15	61	303
15	83	1255
16	50	186
16	59	234
16	65	401
16	66	404
16	82	258
17	50	108
17	82	111
18	49	4097
18	61	219
18	65	110
18	83	406
20	6	212
20	66	1752
21	49	5956
21	61	6917
21	83	661
22	49	185
22	61	278
22	83	311
23	5	550
23	23	177
24	45	85
24	61	117
25	45	10
25	53	8
25	55	8
25	66	8
25	79	14
25	85	11
25	94	14
26	49	404
26	83	153
27	83	648
28	27	150
28	49	147
28	50	269
28	53	131
28	61	39
28	66	17561
28	71	99
29	66	236
29	82	859
30	50	1129
31	0	212
31	47	211
31	53	1455
31	64	341
31	66	1881
33	39	321
35	50	74
35	59	3008
35	82	792
35	83	20
36	12	76
36	17	57
36	41	50
36	75	52
37	29	411
37	30	1585
37	33	404
39	59	1897
39	83	122
40	47	289
40	50	2691
40	52	162
40	58	6390
40	59	635
40	64	192
40	74	431
40	75	207
40	78	137
40	82	582
40	83	301
41	13	117
41	23	145
41	61	162
42	83	2319
43	83	2199
45	49	13
45	61	17476
45	83	112
46	35	79
46	83	156
47	50	672
47	53	300
47	59	1984
50	49	33
50	61	64
50	83	1872
51	49	116
51	61	57
51	65	136
51	82	44
52	59	316
53	66	400
54	83	1428
55	61	1225
55	83	1770
56	6	1410
56	25	1105
56	31	810
56	50	832
56	61	757
56	66	3445
57	97	107
58	59	170
59	45	528
59	48	125
59	58	91
59	59	745
59	64	70
59	66	6918
59	69	59
59	75	76
60	45	563
61	57	144
61	74	326
63	45	910
63	53	367
63	55	603
63	62	459
63	66	1303
63	79	888
63	92	310
63	93	497
63	94	417
64	59	171
64	61	624
64	83	916
68	49	6
68	52	2
68	61	51
68	65	23
68	83	19
69	17	374
69	27	782
69	31	294
69	45	1962
69	62	329
69	76	403
69	85	217
71	49	500
71	61	302
71	83	1342
72	83	958
73	82	269
74	95	114
75	83	89
80	23	77
81	6	185
83	61	108
85	83	901
88	61	5
88	83	17
89	53	104
89	66	135
89	70	84
89	82	658
90	49	127
90	61	120
90	83	309
91	45	63
91	61	71
91	62	37
91	71	10
91	79	16
91	93	12
91	94	13
93	35	87
93	49	99
93	59	30
93	61	114
93	82	56
93	83	223
94	59	443
94	60	209
94	64	415
94	66	5915
94	75	73
94	83	45
95	59	194
96	7	1513
96	50	430
